Roll, Dice6, Dice100, Sum,,,,,,,,,
0,5,75,80,,,Dice6 mean,,2.983209439,,Dice100 mean,,38.20792541
1,1,15,16,,,Dice6 median,,3,,Dice100 median,,52
2,6,98,104,,,Dice6 mode,,2,,Dice100 mode,,22
3,3,11,14,,,Dice6 stddev,,1.704899317,,Dice100 stddev,,29.6347703
4,2,13,15,,,,,,,,,
5,4,68,72,,,Sum mean,,43.52517751,,,,
6,5,63,68,,,Sum median,,55,,,,
7,6,17,23,,,Sum mode,,66,,,,
8,3,29,32,,,Sum stddev,,29.69886527,,,,
9,5,65,70,,,,,,,,,
10,4,37,41,,,,,,,,,
11,5,70,75,,,,,,,,,
12,2,17,19,,,,,,,,,
13,5,26,31,,,,,,,,,
14,5,37,42,,,,,,,,,
15,3,62,65,,,,,,,,,
16,5,5,10,,,,,,,,,
17,6,20,26,,,,,,,,,
18,6,79,85,,,,,,,,,
19,3,35,38,,,,,,,,,
20,3,22,25,,,,,,,,,
21,5,59,64,,,,,,,,,
22,6,24,30,,,,,,,,,
23,3,22,25,,,,,,,,,
24,4,59,63,,,,,,,,,
25,4,51,55,,,,,,,,,
26,6,5,11,,,,,,,,,
27,4,79,83,,,,,,,,,
28,5,28,33,,,,,,,,,
29,1,18,19,,,,,,,,,
30,6,75,81,,,,,,,,,
31,3,78,81,,,,,,,,,
32,2,58,60,,,,,,,,,
33,3,33,36,,,,,,,,,
34,6,27,33,,,,,,,,,
35,2,78,80,,,,,,,,,
36,2,22,24,,,,,,,,,
37,6,84,90,,,,,,,,,
38,5,15,20,,,,,,,,,
39,3,100,103,,,,,,,,,
40,5,95,100,,,,,,,,,
41,6,20,26,,,,,,,,,
42,1,73,74,,,,,,,,,
43,3,71,74,,,,,,,,,
44,2,59,61,,,,,,,,,
45,4,19,23,,,,,,,,,
46,5,18,23,,,,,,,,,
47,6,16,22,,,,,,,,,
48,6,44,50,,,,,,,,,
49,3,15,18,,,,,,,,,
50,3,68,71,,,,,,,,,
51,1,22,23,,,,,,,,,
52,1,32,33,,,,,,,,,
53,5,89,94,,,,,,,,,
54,4,14,18,,,,,,,,,
55,2,19,21,,,,,,,,,
56,2,93,95,,,,,,,,,
57,4,58,62,,,,,,,,,
58,1,92,93,,,,,,,,,
59,2,68,70,,,,,,,,,
60,2,16,18,,,,,,,,,
61,2,87,89,,,,,,,,,
62,3,85,88,,,,,,,,,
63,4,12,16,,,,,,,,,
64,4,50,54,,,,,,,,,
65,1,2,3,,,,,,,,,
66,1,71,72,,,,,,,,,
67,6,61,67,,,,,,,,,
68,2,80,82,,,,,,,,,
69,1,48,49,,,,,,,,,
70,5,40,45,,,,,,,,,
71,6,52,58,,,,,,,,,
72,4,59,63,,,,,,,,,
73,1,48,49,,,,,,,,,
74,3,41,44,,,,,,,,,
75,1,4,5,,,,,,,,,
76,4,52,56,,,,,,,,,
77,4,92,96,,,,,,,,,
78,6,92,98,,,,,,,,,
79,2,16,18,,,,,,,,,
80,5,82,87,,,,,,,,,
81,5,62,67,,,,,,,,,
82,4,92,96,,,,,,,,,
83,2,53,55,,,,,,,,,
84,6,75,81,,,,,,,,,
85,2,16,18,,,,,,,,,
86,6,69,75,,,,,,,,,
87,4,46,50,,,,,,,,,
88,2,32,34,,,,,,,,,
89,5,30,35,,,,,,,,,
90,2,8,10,,,,,,,,,
91,5,31,36,,,,,,,,,
92,5,75,80,,,,,,,,,
93,3,99,102,,,,,,,,,
94,4,78,82,,,,,,,,,
95,4,10,14,,,,,,,,,
96,1,82,83,,,,,,,,,
97,3,62,65,,,,,,,,,
98,2,97,99,,,,,,,,,
99,4,97,101,,,,,,,,,
100,5,18,23,,,,,,,,,
101,6,84,90,,,,,,,,,
102,6,83,89,,,,,,,,,
103,1,65,66,,,,,,,,,
104,3,74,77,,,,,,,,,
105,6,38,44,,,,,,,,,
106,3,31,34,,,,,,,,,
107,5,43,48,,,,,,,,,
108,5,43,48,,,,,,,,,
109,5,74,79,,,,,,,,,
110,4,58,62,,,,,,,,,
111,5,82,87,,,,,,,,,
112,6,6,12,,,,,,,,,
113,3,65,68,,,,,,,,,
114,4,8,12,,,,,,,,,
115,3,24,27,,,,,,,,,
116,5,24,29,,,,,,,,,
117,3,63,66,,,,,,,,,
118,5,40,45,,,,,,,,,
119,5,25,30,,,,,,,,,
120,5,77,82,,,,,,,,,
121,6,45,51,,,,,,,,,
122,1,82,83,,,,,,,,,
123,3,63,66,,,,,,,,,
124,4,32,36,,,,,,,,,
125,2,47,49,,,,,,,,,
126,5,70,75,,,,,,,,,
127,2,28,30,,,,,,,,,
128,5,22,27,,,,,,,,,
129,6,80,86,,,,,,,,,
130,6,4,10,,,,,,,,,
131,1,58,59,,,,,,,,,
132,6,14,20,,,,,,,,,
133,4,38,42,,,,,,,,,
134,3,51,54,,,,,,,,,
135,2,17,19,,,,,,,,,
136,3,75,78,,,,,,,,,
137,5,85,90,,,,,,,,,
138,5,99,104,,,,,,,,,
139,3,84,87,,,,,,,,,
140,4,86,90,,,,,,,,,
141,1,71,72,,,,,,,,,
142,3,10,13,,,,,,,,,
143,4,34,38,,,,,,,,,
144,2,94,96,,,,,,,,,
145,1,65,66,,,,,,,,,
146,3,20,23,,,,,,,,,
147,2,76,78,,,,,,,,,
148,1,94,95,,,,,,,,,
149,3,89,92,,,,,,,,,
150,4,78,82,,,,,,,,,
151,1,22,23,,,,,,,,,
152,1,69,70,,,,,,,,,
153,4,61,65,,,,,,,,,
154,1,4,5,,,,,,,,,
155,4,49,53,,,,,,,,,
156,3,78,81,,,,,,,,,
157,3,95,98,,,,,,,,,
158,4,68,72,,,,,,,,,
159,2,23,25,,,,,,,,,
