Roll, Dice6, Dice100, Sum,,,,,,,,,
0,4,27,31,,,Dice6 mean,,2.940327253,,Dice100 mean,,39.39607704
1,4,97,101,,,Dice6 median,,3,,Dice100 median,,52
2,5,55,60,,,Dice6 mode,,3,,Dice100 mode,,40
3,6,16,22,,,Dice6 stddev,,1.705117716,,Dice100 stddev,,27.97674551
4,5,56,61,,,,,,,,,
5,2,97,99,,,Sum mean,,44.57401342,,,,
6,6,13,19,,,Sum median,,55,,,,
7,2,18,20,,,Sum mode,,43,,,,
8,3,83,86,,,Sum stddev,,28.04512587,,,,
9,2,88,90,,,,,,,,,
10,5,44,49,,,,,,,,,
11,3,34,37,,,,,,,,,
12,3,100,103,,,,,,,,,
13,4,82,86,,,,,,,,,
14,2,17,19,,,,,,,,,
15,6,63,69,,,,,,,,,
16,3,94,97,,,,,,,,,
17,4,49,53,,,,,,,,,
18,6,27,33,,,,,,,,,
19,6,68,74,,,,,,,,,
20,4,59,63,,,,,,,,,
21,4,77,81,,,,,,,,,
22,4,25,29,,,,,,,,,
23,5,16,21,,,,,,,,,
24,4,60,64,,,,,,,,,
25,3,44,47,,,,,,,,,
26,2,41,43,,,,,,,,,
27,4,76,80,,,,,,,,,
28,5,53,58,,,,,,,,,
29,3,56,59,,,,,,,,,
30,3,8,11,,,,,,,,,
31,1,63,64,,,,,,,,,
32,3,82,85,,,,,,,,,
33,5,48,53,,,,,,,,,
34,4,26,30,,,,,,,,,
35,3,42,45,,,,,,,,,
36,6,82,88,,,,,,,,,
37,6,59,65,,,,,,,,,
38,1,64,65,,,,,,,,,
39,2,66,68,,,,,,,,,
40,6,29,35,,,,,,,,,
41,1,31,32,,,,,,,,,
42,1,38,39,,,,,,,,,
43,2,61,63,,,,,,,,,
44,6,66,72,,,,,,,,,
45,5,58,63,,,,,,,,,
46,3,39,42,,,,,,,,,
47,6,78,84,,,,,,,,,
48,6,82,88,,,,,,,,,
49,3,31,34,,,,,,,,,
50,1,96,97,,,,,,,,,
51,6,95,101,,,,,,,,,
52,1,42,43,,,,,,,,,
53,3,35,38,,,,,,,,,
54,3,27,30,,,,,,,,,
55,4,32,36,,,,,,,,,
56,1,13,14,,,,,,,,,
57,6,27,33,,,,,,,,,
58,4,23,27,,,,,,,,,
59,6,40,46,,,,,,,,,
60,2,8,10,,,,,,,,,
61,3,65,68,,,,,,,,,
62,2,21,23,,,,,,,,,
63,6,17,23,,,,,,,,,
64,2,18,20,,,,,,,,,
65,5,13,18,,,,,,,,,
66,5,71,76,,,,,,,,,
67,1,42,43,,,,,,,,,
68,6,59,65,,,,,,,,,
69,6,20,26,,,,,,,,,
70,5,80,85,,,,,,,,,
71,2,43,45,,,,,,,,,
72,4,17,21,,,,,,,,,
73,4,45,49,,,,,,,,,
74,4,61,65,,,,,,,,,
75,2,79,81,,,,,,,,,
76,4,85,89,,,,,,,,,
77,5,65,70,,,,,,,,,
78,3,88,91,,,,,,,,,
79,1,58,59,,,,,,,,,
80,4,31,35,,,,,,,,,
81,2,70,72,,,,,,,,,
82,1,76,77,,,,,,,,,
83,1,68,69,,,,,,,,,
84,5,91,96,,,,,,,,,
85,4,71,75,,,,,,,,,
86,2,43,45,,,,,,,,,
87,6,65,71,,,,,,,,,
88,3,87,90,,,,,,,,,
89,1,2,3,,,,,,,,,
90,1,45,46,,,,,,,,,
91,3,66,69,,,,,,,,,
92,3,79,82,,,,,,,,,
93,2,85,87,,,,,,,,,
94,1,66,67,,,,,,,,,
95,6,72,78,,,,,,,,,
96,2,12,14,,,,,,,,,
97,1,1,2,,,,,,,,,
98,3,56,59,,,,,,,,,
99,4,73,77,,,,,,,,,
100,2,59,61,,,,,,,,,
101,6,19,25,,,,,,,,,
102,3,13,16,,,,,,,,,
103,5,64,69,,,,,,,,,
104,3,95,98,,,,,,,,,
105,3,97,100,,,,,,,,,
106,5,49,54,,,,,,,,,
107,6,19,25,,,,,,,,,
108,4,47,51,,,,,,,,,
109,3,94,97,,,,,,,,,
110,4,97,101,,,,,,,,,
111,5,59,64,,,,,,,,,
112,4,9,13,,,,,,,,,
113,5,46,51,,,,,,,,,
114,4,83,87,,,,,,,,,
115,1,61,62,,,,,,,,,
116,1,18,19,,,,,,,,,
117,5,94,99,,,,,,,,,
118,6,13,19,,,,,,,,,
119,1,80,81,,,,,,,,,
120,4,25,29,,,,,,,,,
121,4,98,102,,,,,,,,,
122,6,41,47,,,,,,,,,
123,5,5,10,,,,,,,,,
124,1,23,24,,,,,,,,,
125,2,50,52,,,,,,,,,
126,1,18,19,,,,,,,,,
127,4,30,34,,,,,,,,,
128,2,23,25,,,,,,,,,
129,6,94,100,,,,,,,,,
130,1,98,99,,,,,,,,,
131,2,45,47,,,,,,,,,
132,1,85,86,,,,,,,,,
133,2,96,98,,,,,,,,,
134,3,50,53,,,,,,,,,
135,3,56,59,,,,,,,,,
136,1,2,3,,,,,,,,,
137,4,4,8,,,,,,,,,
138,6,74,80,,,,,,,,,
139,4,80,84,,,,,,,,,
140,6,9,15,,,,,,,,,
141,5,19,24,,,,,,,,,
142,6,40,46,,,,,,,,,
143,2,3,5,,,,,,,,,
144,2,75,77,,,,,,,,,
145,2,66,68,,,,,,,,,
146,6,2,8,,,,,,,,,
147,1,38,39,,,,,,,,,
148,6,4,10,,,,,,,,,
149,1,34,35,,,,,,,,,
150,4,59,63,,,,,,,,,
151,6,32,38,,,,,,,,,
152,6,47,53,,,,,,,,,
153,1,5,6,,,,,,,,,
154,2,42,44,,,,,,,,,
155,2,19,21,,,,,,,,,
156,4,16,20,,,,,,,,,
157,1,27,28,,,,,,,,,
158,2,37,39,,,,,,,,,
159,5,69,74,,,,,,,,,
160,3,77,80,,,,,,,,,
161,1,87,88,,,,,,,,,
162,2,1,3,,,,,,,,,
163,6,63,69,,,,,,,,,
164,2,61,63,,,,,,,,,
165,6,61,67,,,,,,,,,
166,3,89,92,,,,,,,,,
167,2,31,33,,,,,,,,,
168,1,26,27,,,,,,,,,
169,5,58,63,,,,,,,,,
170,3,23,26,,,,,,,,,
171,1,20,21,,,,,,,,,
172,6,65,71,,,,,,,,,
173,6,45,51,,,,,,,,,
174,3,79,82,,,,,,,,,
175,4,16,20,,,,,,,,,
176,3,52,55,,,,,,,,,
177,2,84,86,,,,,,,,,
178,6,77,83,,,,,,,,,
179,2,59,61,,,,,,,,,
180,1,97,98,,,,,,,,,
181,6,8,14,,,,,,,,,
182,4,63,67,,,,,,,,,
183,2,72,74,,,,,,,,,
184,1,76,77,,,,,,,,,
185,2,59,61,,,,,,,,,
186,4,58,62,,,,,,,,,
187,5,88,93,,,,,,,,,
188,4,80,84,,,,,,,,,
