NUM_C,A,RUNTIME_CHANGE
0, 0, 0.000000
1, 1, 0.000016
1, 2, 0.000021
1, 4, 0.000017
1, 8, 0.000023
1, 16, 0.000020
1, 32, 0.000018
1, 64, 0.000019
1, 128, 0.000021
1, 256, 0.000025
1, 512, 0.000035
1, 1024, 0.000054
1, 2048, 0.000090
1, 4096, 0.000172
1, 8192, 0.000324
1, 16384, 0.000662
1, 32768, 0.001262
1, 65536, 0.002526
2, 1, 0.000016
2, 2, 0.000016
2, 4, 0.000017
2, 8, 0.000022
2, 16, 0.000017
2, 32, 0.000018
2, 64, 0.000025
2, 128, 0.000023
2, 256, 0.000026
2, 512, 0.000043
2, 1024, 0.000058
2, 2048, 0.000100
2, 4096, 0.000193
2, 8192, 0.000366
2, 16384, 0.000718
2, 32768, 0.001399
2, 65536, 0.002805
4, 1, 0.000017
4, 2, 0.000016
4, 4, 0.000016
4, 8, 0.000017
4, 16, 0.000017
4, 32, 0.000019
4, 64, 0.000021
4, 128, 0.000023
4, 256, 0.000045
4, 512, 0.000049
4, 1024, 0.000086
4, 2048, 0.000256
4, 4096, 0.000324
4, 8192, 0.000638
4, 16384, 0.001264
4, 32768, 0.002510
4, 65536, 0.005051
8, 1, 0.000021
8, 2, 0.000016
8, 4, 0.000016
8, 8, 0.000016
8, 16, 0.000017
8, 32, 0.000019
8, 64, 0.000021
8, 128, 0.000025
8, 256, 0.000049
8, 512, 0.000066
8, 1024, 0.000133
8, 2048, 0.000271
8, 4096, 0.000564
8, 8192, 0.001156
8, 16384, 0.002441
8, 32768, 0.004758
8, 65536, 0.009794
16, 1, 0.000019
16, 2, 0.000017
16, 4, 0.000018
16, 8, 0.000020
16, 16, 0.000021
16, 32, 0.000021
16, 64, 0.000026
16, 128, 0.000038
16, 256, 0.000065
16, 512, 0.000123
16, 1024, 0.000246
16, 2048, 0.000518
16, 4096, 0.001077
16, 8192, 0.002168
16, 16384, 0.004516
16, 32768, 0.008640
16, 65536, 0.017394
32, 1, 0.000016
32, 2, 0.000016
32, 4, 0.000015
32, 8, 0.000015
32, 16, 0.000021
32, 32, 0.000025
32, 64, 0.000034
32, 128, 0.000051
32, 256, 0.000089
32, 512, 0.000178
32, 1024, 0.000400
32, 2048, 0.000914
32, 4096, 0.002022
32, 8192, 0.004121
32, 16384, 0.008256
32, 32768, 0.016572
32, 65536, 0.033277
64, 1, 0.000017
64, 2, 0.000017
64, 4, 0.000018
64, 8, 0.000020
64, 16, 0.000026
64, 32, 0.000034
64, 64, 0.000051
64, 128, 0.000086
64, 256, 0.000162
64, 512, 0.000334
64, 1024, 0.000719
64, 2048, 0.001604
64, 4096, 0.003919
64, 8192, 0.008431
64, 16384, 0.016420
64, 32768, 0.032806
64, 65536, 0.065617
128, 1, 0.000017
128, 2, 0.000018
128, 4, 0.000020
128, 8, 0.000024
128, 16, 0.000033
128, 32, 0.000049
128, 64, 0.000083
128, 128, 0.000148
128, 256, 0.000288
128, 512, 0.000594
128, 1024, 0.001231
128, 2048, 0.002636
128, 4096, 0.005926
128, 8192, 0.014604
128, 16384, 0.031479
128, 32768, 0.063644
128, 65536, 0.128192
256, 1, 0.000018
256, 2, 0.000020
256, 4, 0.000024
256, 8, 0.000033
256, 16, 0.000048
256, 32, 0.000080
256, 64, 0.000157
256, 128, 0.000277
256, 256, 0.000543
256, 512, 0.001080
256, 1024, 0.002213
256, 2048, 0.004652
256, 4096, 0.009929
256, 8192, 0.023093
256, 16384, 0.058516
256, 32768, 0.126323
256, 65536, 0.254825
512, 1, 0.000020
512, 2, 0.000024
512, 4, 0.000032
512, 8, 0.000049
512, 16, 0.000083
512, 32, 0.000151
512, 64, 0.000275
512, 128, 0.000525
512, 256, 0.001033
512, 512, 0.002080
512, 1024, 0.004228
512, 2048, 0.008764
512, 4096, 0.018481
512, 8192, 0.040476
512, 16384, 0.095657
512, 32768, 0.237875
512, 65536, 0.594585
1024, 1, 0.000026
1024, 2, 0.000034
1024, 4, 0.000058
1024, 8, 0.000082
1024, 16, 0.000150
1024, 32, 0.000273
1024, 64, 0.000560
1024, 128, 0.001035
1024, 256, 0.002180
1024, 512, 0.004468
1024, 1024, 0.008247
1024, 2048, 0.016665
1024, 4096, 0.034214
1024, 8192, 0.089487
