numt, numnodes, tilesize, volume, mhs, time
64, 32768, 8.38241e-09, 25.312500, 480.334464, 2.235405
64, 31129, 9.28838e-09, 25.312500, 476.343350, 2.034278
64, 29573, 1.02916e-08, 25.312500, 485.933124, 1.799759
64, 28094, 1.14037e-08, 25.312500, 472.715134, 1.669658
64, 26689, 1.2636e-08, 25.312500, 469.614944, 1.516780
64, 25355, 1.40007e-08, 25.312500, 477.281394, 1.346954
64, 24087, 1.55136e-08, 25.312500, 483.754013, 1.199336
64, 22883, 1.71892e-08, 25.312500, 476.646330, 1.098575
64, 21738, 1.90477e-08, 25.312500, 485.767683, 0.972771
64, 20652, 2.11038e-08, 25.312500, 471.118890, 0.905302
64, 19619, 2.33848e-08, 25.312500, 465.531964, 0.826807
64, 18638, 2.59114e-08, 25.312500, 463.709309, 0.749122
64, 17706, 2.87112e-08, 25.312500, 474.256989, 0.661039
64, 16821, 3.1812e-08, 25.312500, 475.758738, 0.594726
64, 15980, 3.52487e-08, 25.312500, 467.667874, 0.546029
64, 15181, 3.9057e-08, 25.312500, 466.958578, 0.493540
64, 14422, 4.32765e-08, 25.312500, 449.156412, 0.463077
64, 13700, 4.79584e-08, 25.312500, 455.951639, 0.411645
64, 13015, 5.31399e-08, 25.312500, 468.712724, 0.361395
64, 12365, 5.88741e-08, 25.312500, 459.541931, 0.332708
64, 11746, 6.52434e-08, 25.312500, 447.624665, 0.308224
64, 11159, 7.22886e-08, 25.312500, 442.914980, 0.281145
64, 10601, 8.00997e-08, 25.312500, 446.094590, 0.251922
64, 10071, 8.87531e-08, 25.312500, 428.287934, 0.236815
64, 9567, 9.83517e-08, 25.312500, 410.104905, 0.223181
64, 9089, 1.0897e-07, 25.312500, 412.560793, 0.200237
64, 8635, 1.20731e-07, 25.312500, 464.375139, 0.160567
64, 8203, 1.33784e-07, 25.312500, 431.929610, 0.155787
64, 7793, 1.48233e-07, 25.312500, 434.435768, 0.139792
64, 7403, 1.64265e-07, 25.312500, 447.409852, 0.122493
64, 7033, 1.82006e-07, 25.312500, 426.373113, 0.116009
64, 6681, 2.01692e-07, 25.312500, 387.044140, 0.115325
64, 6347, 2.23482e-07, 25.312500, 424.945116, 0.094799
64, 6030, 2.47601e-07, 25.312500, 411.614864, 0.088337
64, 5728, 2.74403e-07, 25.312500, 392.755953, 0.083538
64, 5442, 3.04008e-07, 25.312500, 342.496328, 0.086469
64, 5170, 3.36844e-07, 25.312500, 367.637026, 0.072705
64, 4911, 3.73319e-07, 25.312500, 382.598640, 0.063037
64, 4666, 4.13561e-07, 25.312500, 371.120331, 0.058664
64, 4432, 4.58394e-07, 25.312500, 373.905955, 0.052534
64, 4211, 5.07783e-07, 25.312500, 323.371255, 0.054836
64, 4000, 5.62781e-07, 25.312500, 357.333400, 0.044776
64, 3800, 6.23597e-07, 25.312501, 349.163202, 0.041356
64, 3610, 6.90985e-07, 25.312501, 324.103622, 0.040210
64, 3429, 7.6588e-07, 25.312501, 272.756590, 0.043108
64, 3258, 8.48412e-07, 25.312501, 353.535453, 0.030024
64, 3095, 9.4016e-07, 25.312501, 352.980152, 0.027138
64, 2940, 1.04194e-06, 25.312501, 255.210601, 0.033868
64, 2793, 1.15455e-06, 25.312501, 267.724597, 0.029138
64, 2654, 1.2787e-06, 25.312501, 299.603167, 0.023510
64, 2521, 1.41723e-06, 25.312501, 315.822133, 0.020123
64, 2395, 1.57034e-06, 25.312501, 309.949989, 0.018506
64, 2275, 1.74045e-06, 25.312502, 308.213429, 0.016792
64, 2161, 1.92901e-06, 25.312502, 307.217032, 0.015201
