useSIMD, doReduction, arraySize, megaOpsSecAvg, megaOpsSecBest, timeAvg, timeBest
0, 0, 536870912, 863.316317, 897.649525, 6.2187045610e-01, 5.9808521788e-01
0, 0, 268435456, 850.548706, 862.741509, 3.1560268574e-01, 3.1114239106e-01
0, 0, 134217728, 873.361594, 895.286859, 1.5367944830e-01, 1.4991589193e-01
0, 0, 67108864, 651.658746, 872.324533, 1.0298160564e-01, 7.6931074960e-02
0, 0, 33554432, 845.707268, 857.811069, 3.9676177897e-02, 3.9116343018e-02
0, 0, 16777216, 850.617582, 863.369089, 1.9723570673e-02, 1.9432263914e-02
0, 0, 8388608, 847.135769, 862.225914, 9.9023182644e-03, 9.7290140111e-03
0, 0, 4194304, 849.668755, 867.800186, 4.9363990081e-03, 4.8332600854e-03
0, 0, 2097152, 852.654552, 875.679264, 2.4595564464e-03, 2.3948859889e-03
0, 0, 1048576, 858.597755, 876.672108, 1.2212657137e-03, 1.1960868724e-03
0, 0, 524288, 862.778251, 882.158603, 6.0767410323e-04, 5.9432396665e-04
0, 0, 262144, 855.160790, 880.851440, 3.0654352158e-04, 2.9760296457e-04
0, 0, 131072, 860.126496, 880.191053, 1.5238688793e-04, 1.4891312458e-04
0, 0, 65536, 862.116421, 880.492546, 7.6017575338e-05, 7.4431067333e-05
0, 0, 32768, 862.157087, 881.858040, 3.8006994873e-05, 3.7157908082e-05
0, 0, 16384, 839.331864, 882.189707, 1.9520288333e-05, 1.8571969122e-05
0, 0, 8192, 861.295996, 885.141436, 9.5112482086e-06, 9.2550180852e-06
0, 0, 4096, 851.579561, 880.886588, 4.8098852858e-06, 4.6498607844e-06
0, 0, 2048, 683.212917, 882.787337, 2.9976014048e-06, 2.3199245334e-06
0, 0, 1024, 746.697201, 846.266406, 1.3713724911e-06, 1.2100208551e-06
0, 0, 512, 653.479319, 838.042399, 7.8349839896e-07, 6.1094760895e-07
0, 0, 256, 518.735435, 780.903145, 4.9350783229e-07, 3.2782554626e-07
0, 0, 128, 367.042204, 735.951558, 3.4873373806e-07, 1.7392449081e-07
0, 0, 64, 224.610154, 614.939389, 2.8493814170e-07, 1.0407529771e-07
0, 0, 32, 128.844992, 477.218588, 2.4836044759e-07, 6.7055225372e-08
0, 0, 16, 74.484583, 321.119050, 2.1480955184e-07, 4.9825757742e-08
0, 0, 8, 37.891198, 178.029732, 2.1113082767e-07, 4.4936314225e-08
0, 0, 4, 16.681104, 97.612893, 2.3979227990e-07, 4.0978193283e-08
0, 0, 2, 9.657037, 48.806447, 2.0710285753e-07, 4.0978193283e-08
0, 0, 1, 5.104549, 25.718367, 1.9590370357e-07, 3.8882717490e-08
0, 1, 536870912, 885.887911, 886.572307, 6.0602577999e-01, 6.0555795394e-01
0, 1, 268435456, 858.083077, 886.448433, 3.1283154651e-01, 3.0282128789e-01
