NUM_ELEMENTS,LOCAL_SIZE,OP_MODE,NUM_WORK_GROUPS,megaMultsSecBest,megaMultsSecAvg
1024, 8, 0, 128, 47.407406, 39.022606
1024, 8, 1, 128, 30.845231, 25.730518
1024, 8, 2, 128, 32.312012, 11.146452
1024, 16, 0, 64, 46.534877, 38.878005
1024, 16, 1, 64, 43.008947, 35.071736
1024, 16, 2, 64, 45.009012, 14.615209
1024, 32, 0, 32, 44.933957, 30.829259
1024, 32, 1, 32, 45.209714, 35.076782
1024, 32, 2, 32, 44.722016, 14.130004
1024, 64, 0, 16, 34.060670, 28.469672
1024, 64, 1, 16, 30.364132, 25.431706
1024, 128, 0, 8, 44.977382, 33.783115
1024, 128, 1, 8, 42.361310, 35.102875
1024, 256, 0, 4, 45.030784, 37.413363
1024, 256, 1, 4, 44.735691, 32.783736
1024, 512, 0, 2, 32.523425, 26.941059
1024, 512, 1, 2, 44.610961, 35.149867
2048, 8, 0, 256, 92.036674, 76.505264
2048, 8, 1, 256, 85.557922, 69.608723
2048, 8, 2, 256, 92.535700, 26.638606
2048, 16, 0, 128, 91.678232, 76.269924
2048, 16, 1, 128, 86.618166, 70.478032
2048, 16, 2, 128, 91.172149, 29.394752
2048, 32, 0, 64, 94.356139, 66.385952
2048, 32, 1, 64, 89.514397, 72.061420
2048, 32, 2, 64, 93.627135, 29.760996
2048, 64, 0, 32, 92.223176, 74.097122
2048, 64, 1, 32, 85.949307, 70.471970
2048, 128, 0, 16, 92.502256, 77.382594
2048, 128, 1, 16, 64.691388, 52.208539
2048, 256, 0, 8, 89.089958, 75.454459
2048, 256, 1, 8, 87.271492, 71.696633
2048, 512, 0, 4, 93.807255, 76.750687
2048, 512, 1, 4, 89.237472, 71.976073
4096, 8, 0, 512, 179.436632, 148.306926
4096, 8, 1, 512, 177.947698, 142.448259
4096, 8, 2, 512, 132.879156, 45.511971
4096, 16, 0, 256, 134.136761, 99.313342
4096, 16, 1, 256, 181.592483, 144.685901
4096, 16, 2, 256, 185.473652, 57.985458
4096, 32, 0, 128, 190.263845, 158.315426
4096, 32, 1, 128, 181.648851, 145.147346
4096, 32, 2, 128, 183.734810, 59.083087
4096, 64, 0, 64, 134.595162, 81.830968
4096, 64, 1, 64, 170.880278, 139.811448
4096, 128, 0, 32, 188.226648, 155.488407
4096, 128, 1, 32, 180.448467, 143.466596
4096, 256, 0, 16, 182.685876, 151.741360
4096, 256, 1, 16, 169.473296, 135.504852
4096, 512, 0, 8, 130.230199, 112.525619
4096, 512, 1, 8, 178.335082, 131.995761
8192, 8, 0, 1024, 342.088792, 284.649038
8192, 8, 1, 1024, 248.604024, 202.076512
8192, 8, 2, 1024, 353.942545, 115.409866
8192, 16, 0, 512, 373.160855, 303.071787
8192, 16, 1, 512, 359.771626, 286.686166
8192, 16, 2, 512, 351.271396, 118.392110
8192, 32, 0, 256, 358.716133, 301.966918
8192, 32, 1, 256, 345.217011, 281.938326
8192, 32, 2, 256, 264.821884, 89.217063
8192, 64, 0, 128, 272.458178, 223.634501
8192, 64, 1, 128, 341.760530, 279.292089
8192, 128, 0, 64, 379.522825, 306.357522
8192, 128, 1, 64, 360.658641, 282.959888
8192, 256, 0, 32, 374.320310, 297.227281
8192, 256, 1, 32, 251.790385, 205.150808
8192, 512, 0, 16, 379.593168, 307.818333
8192, 512, 1, 16, 359.597916, 287.195738
16384, 8, 0, 2048, 682.013067, 506.526350
16384, 8, 1, 2048, 671.145335, 540.849238
16384, 8, 2, 2048, 536.476738, 208.167896
16384, 16, 0, 1024, 719.891007, 607.451517
16384, 16, 1, 1024, 687.709847, 547.578940
16384, 16, 2, 1024, 683.321524, 228.400002
16384, 32, 0, 512, 750.045779, 613.961773
16384, 32, 1, 512, 694.502162, 489.043974
16384, 32, 2, 512, 707.885090, 235.407373
16384, 64, 0, 256, 747.206686, 616.746727
16384, 64, 1, 256, 713.651013, 569.043010
16384, 128, 0, 128, 760.348942, 629.768713
16384, 128, 1, 128, 707.671077, 540.446044
16384, 256, 0, 64, 713.433444, 595.232039
16384, 256, 1, 64, 704.688154, 567.717965
16384, 512, 0, 32, 752.629843, 609.437644
16384, 512, 1, 32, 714.927782, 565.226690
32768, 8, 0, 4096, 1164.463367, 1018.636249
32768, 8, 1, 4096, 1158.903598, 1002.904535
32768, 8, 2, 4096, 496.116516, 284.665603
32768, 16, 0, 2048, 1378.254519, 1129.370250
32768, 16, 1, 2048, 1360.684278, 1131.589390
32768, 16, 2, 2048, 1006.017459, 406.495392
32768, 32, 0, 1024, 1493.936357, 1185.768467
32768, 32, 1, 1024, 1427.302027, 1124.274775
32768, 32, 2, 1024, 1325.566413, 449.259506
32768, 64, 0, 512, 1495.504496, 1184.833768
32768, 64, 1, 512, 1407.983506, 1147.162192
32768, 128, 0, 256, 1458.559497, 1164.322702
32768, 128, 1, 256, 1405.748608, 1160.031858
32768, 256, 0, 128, 1465.605211, 1129.487038
32768, 256, 1, 128, 977.186636, 851.641137
32768, 512, 0, 64, 1492.371503, 1202.835297
32768, 512, 1, 64, 1409.376418, 1150.493136
65536, 8, 0, 8192, 1856.649075, 1573.497180
65536, 8, 1, 8192, 1771.386943, 1513.285345
65536, 8, 2, 8192, 262.161826, 217.889146
65536, 16, 0, 4096, 2340.153630, 1910.592568
65536, 16, 1, 4096, 2214.128901, 1791.702557
65536, 16, 2, 4096, 879.701460, 514.877683
65536, 32, 0, 2048, 2657.152202, 2125.239152
65536, 32, 1, 2048, 2497.275433, 2061.917957
65536, 32, 2, 2048, 1878.145276, 782.106641
65536, 64, 0, 1024, 2867.719686, 2098.595838
65536, 64, 1, 1024, 2706.086240, 2125.190927
65536, 128, 0, 512, 2710.339038, 2146.750484
65536, 128, 1, 512, 2676.686686, 2165.777695
65536, 256, 0, 256, 2626.061886, 2000.909854
65536, 256, 1, 256, 2726.009635, 2124.316037
65536, 512, 0, 128, 2767.801369, 2144.565775
65536, 512, 1, 128, 2606.427015, 2108.806113
131072, 8, 0, 16384, 2294.677878, 1250.707307
131072, 8, 1, 16384, 2282.847973, 2010.362227
